Cocunut,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
80724,65,11,W,HGH,RET,F,"215,9724615",25/09/1998,01/10/9999,13/10/2005,2466
80725,30,0,M,HGH,PVE,M,"430,7692308",27/08/1987,01/06/2010,11/10/2016,"194,0995385"
80726,64,2,S,HGH,RET,F,"205,7708462",18/01/1953,01/10/9999,08/08/2014,"2307,692308"
80727,47,11,M,HGH,STE,F,"270,4440769",23/09/1989,15/07/1989,07/09/2005,"5872,028"
80728,53,3,M,HGH,PVE,M,"615,3860769",01/10/2009,02/10/2014,03/12/2013,"4615,384615"
80729,70,1,M,HGH,RET,M,"993,3538462",30/08/1947,01/10/9999,01/06/2016,"4900,384615"
80730,65,13,W,HGH,RET,M,"230,9784615",04/10/2004,01/10/9999,02/03/2004,"2371,153846"
80731,46,4,M,HGH,PVE,M,"167,9486923",08/07/2011,01/01/2009,26/12/2012,"2307,692308"
80732,55,3,D,HGH,PVE,F,"187,4064615",21/07/1962,01/06/2011,14/02/2014,"360,732"
80733,30,4,M,HGH,PVE,M,"293,9538462",24/09/1987,01/07/2013,05/12/2012,"2307,692308"
80734,31,3,M,HGH,PVE,M,"384,6153846",01/01/2009,17/05/2016,07/09/2013,"9230,769231"
80735,40,2,M,HGH,PVE,M,"610,9333077",01/01/2011,17/01/2011,31/03/2015,"4615,384615"
80736,52,0,M,HGH,STE,M,"249,1678462",23/03/1965,13/01/1988,14/10/2016,"2307,692308"
80737,63,13,M,PHD,STE,M,"883,7076923",05/03/1993,12/07/1979,12/09/2003,"7692,307692"
80738,28,4,S,BCR,PVE,M,"897,2040769",29/06/1989,09/08/2013,21/12/2012,"2307,692308"
80739,51,11,M,HGH,STE,M,"384,7384615",02/06/1966,03/10/1985,05/09/2005,"661,6933077"
80740,54,12,D,HGH,STE,F,"250,7416923",05/01/1975,15/10/1988,03/02/2005,"2411,589615"
80741,46,2,M,HGH,PVE,M,"293,7957692",05/01/1971,01/06/2013,02/10/2014,"1923,076923"
80742,33,10,M,HGH,STE,M,"297,5708462",07/04/1984,11/09/2006,04/04/2007,"2210,296538"
80743,26,1,S,HGH,PVE,M,"207,4621538",01/01/2013,16/03/2016,14/12/2015,"2307,692308"
80744,29,9,M,HGH,PVE,F,"276,9230769",03/02/1988,15/05/2015,01/08/2007,"2307,692308"
80745,45,0,M,HGH,OTH,F,"268,454",13/03/1972,01/10/9999,10/10/2016,"4615,384615"
80746,48,11,M,HGH,STE,F,"185,5538462",16/04/1999,22/07/1999,19/01/2006,"3680,972769"
80747,41,1,M,HGH,PVE,M,"247,0615385",09/04/1976,01/12/2015,03/08/2015,"4615,384615"
80748,51,0,M,HGH,STE,F,"271,6461538",01/01/2001,01/06/1992,11/10/2016,"4615,384615"
80749,72,15,W,BCR,RET,F,"242,6676923",15/08/1975,01/10/9999,17/06/2002,2055
80750,46,10,S,BCR,STE,M,"514,9615385",01/01/1982,07/08/2000,25/11/2006,"8238,367692"
80751,59,3,D,HGH,STE,F,"405,8662308",01/08/1990,13/01/1978,22/11/2013,"3943,899385"
80752,50,8,M,HGH,PVE,F,"245,0835385",30/10/2011,01/08/2009,22/09/2008,"400,8133846"
80753,71,7,M,HGH,RET,M,"424,8854615",06/11/1946,01/10/9999,02/03/2010,"4821,346154"
80754,24,2,S,HGH,PVE,M,"422,1923077",19/03/1993,01/06/2015,04/05/2015,"2307,692308"
80755,59,0,M,BCR,STE,M,"396,0974615",31/12/1989,04/06/1984,13/10/2016,"7692,307692"
80756,69,11,M,HGH,RET,F,"191,7378462",23/05/1972,01/10/9999,24/08/2005,"2371,153846"
80757,52,7,M,HGH,STE,M,"747,1692308",01/01/1968,20/01/1986,10/09/2009,"2307,692308"
80758,41,1,M,HGH,PVE,F,"223,5923077",01/01/1995,26/06/2016,24/11/2015,"1557,057692"
80759,34,7,M,HGH,PVE,M,"261,8384615",28/06/1983,01/01/2008,20/10/2009,"7692,307692"
80760,62,11,M,HGH,PVE,M,"302,1835385",20/02/1984,30/10/1978,25/01/2006,"2307,692308"
80761,64,13,M,BCR,OTH,F,"346,5387692",27/05/2007,01/10/9999,12/02/2004,"5371,540769"
80762,38,3,S,BCR,PVE,F,"461,5384615",01/01/2014,10/05/2014,07/04/2014,"1310,564231"
80763,41,10,M,HGH,STE,M,"280,1400769",23/04/1976,10/09/2001,08/12/2006,"2915,452846"
80764,35,0,M,HGH,PVE,F,"269,2307692",01/01/2016,11/03/2016,06/10/2016,"4615,384615"
80765,64,14,M,HGH,RET,F,"219,1838462",01/01/1975,01/10/9999,26/10/2002,"2307,692308"
80766,37,9,M,BCR,PVE,F,"328,0923077",24/10/2000,03/03/2012,24/10/2007,"3883,507923"
80767,30,7,M,HGH,STE,F,"669,9692308",01/11/2007,01/11/2006,14/08/2009,"2307,692308"
80768,32,10,M,HGH,PVE,M,"237,6076923",20/02/1985,15/10/2006,05/05/2007,"2307,692308"
80769,41,9,M,HGH,PVE,M,"603,9199231",01/01/1984,08/04/2013,14/08/2007,"1016,491615"
80770,58,13,D,HGH,RET,F,"149,5907692",01/09/2004,01/10/9999,02/02/2004,"1644,787"
80771,38,4,M,HGH,STE,F,"338,4615385",03/10/2007,05/07/2006,21/03/2013,"449,08"
80772,56,12,M,BCR,PVE,F,"1049,138462",01/09/1999,01/12/2002,23/09/2004,"1614,737231"
80773,57,12,W,BCR,RET,F,"190,716",15/12/1978,01/10/9999,23/07/2004,"4057,689231"
80774,65,4,W,HGH,RET,F,"170,3307692",01/01/1970,18/04/1998,29/01/2013,"4023,057692"
80775,29,2,S,BCR,PVE,F,"192,3076923",08/12/2001,01/04/2015,13/10/2014,"4469,752615"
80776,68,13,M,BCR,RET,M,"758,0779231",01/01/2006,01/10/9999,15/07/2003,"5358,807692"
80777,43,9,M,HGH,PVE,M,"413,7615385",18/03/1974,14/08/2014,26/03/2008,"2307,692308"
80778,32,3,S,BCR,PVE,M,"599,63",05/06/2010,05/04/2016,29/10/2013,"794,0968462"
80779,58,12,M,HGH,PVE,M,"407,1153846",15/06/1991,01/12/2003,04/04/2005,"2307,692308"
80780,44,7,M,HGH,STE,M,"480,0060769",01/01/2012,01/10/9999,14/08/2009,0
80781,44,8,M,HGH,PVE,F,"277,5076923",10/04/1973,14/09/2015,05/11/2008,"2307,692308"
80782,57,1,M,HGH,RET,M,"289,5578462",31/07/1960,01/10/9999,24/03/2016,"2390,439769"
80783,62,3,W,HGH,RET,F,"196,3602308",01/07/1979,01/10/9999,06/08/2013,"2845,384615"
80784,24,2,M,PRS,PVE,M,"269,6896923",12/12/1993,01/04/2014,01/09/2014,"4844,921692"
80785,65,13,M,HGH,RET,M,"391,4194615",01/09/2003,01/10/9999,12/01/2004,"2371,153846"
80786,51,2,W,HGH,RET,F,"249,9394615",01/01/1992,01/10/9999,20/08/2014,"1791,708846"
80787,45,11,M,BCR,STE,F,"428,4314615",01/01/1978,05/01/1998,07/04/2006,"3807,692308"
80788,65,2,M,HGH,RET,F,"157,5923077",09/11/1952,01/10/9999,14/01/2015,"3161,538462"
80789,34,9,S,BCR,PVE,M,"715,3846154",15/06/1988,01/09/2002,09/08/2007,"474,8160769"
80790,35,11,M,HGH,PVE,M,"521,7441538",14/05/2011,16/05/2009,24/01/2006,"7692,307692"
80791,67,14,W,BCR,RET,F,"253,2692308",01/08/1991,01/10/9999,13/05/2003,"2845,384615"
80792,55,12,M,BCR,STE,F,"346,8661538",10/10/1992,24/01/1996,02/04/2005,"3067,477308"
80793,63,15,M,HGH,RET,F,"224,7287692",04/12/2001,18/03/1985,22/02/2002,"440,5384615"
80794,61,15,M,BCR,SFE,M,200,01/08/1985,27/02/1995,01/10/2001,"2307,692308"
80795,67,11,W,BCR,RET,F,"330,0076923",15/03/2011,01/10/9999,28/12/2005,"1185,576923"
80796,37,1,M,HGH,PVE,M,"215,4692308",27/07/1980,23/11/2015,05/12/2015,"2307,692308"
80797,29,4,M,HGH,PVE,F,"219,7868462",10/01/1988,01/06/2011,01/04/2013,"4820,321462"
80798,47,10,M,BCR,STE,F,"367,1361538",27/07/1995,19/01/1998,02/10/2006,"291,0307692"
80799,64,11,M,HGH,RET,F,"251,5598462",01/10/2013,01/10/9999,08/06/2006,5343
80800,29,3,M,HGH,PVE,F,"255,3615385",01/04/2008,01/10/2016,07/03/2014,"2307,692308"
80801,38,4,M,PRS,STE,F,"182,4248462",28/02/2008,01/07/2009,09/07/2012,"4557,394846"
80802,64,11,M,HGH,RET,M,"201,1072308",01/10/1983,01/10/9999,13/10/2005,"2307,692308"
80803,47,4,S,HGH,PVE,M,"192,3076923",08/03/1970,10/05/2014,12/09/2012,"2766,346154"
80804,36,9,M,BCR,PVE,M,"394,3538462",11/07/1981,07/07/2012,31/05/2008,"4615,384615"
80805,66,4,W,HGH,RET,F,"197,5206923",01/12/1979,01/10/9999,12/10/2012,"474,2307692"
80806,65,13,M,HGH,RET,F,"237,8707692",01/05/1987,01/10/9999,05/04/2004,"1580,769231"
80807,50,5,W,HGH,RET,F,"420,6294615",01/01/2000,01/10/9999,09/09/2011,"4615,384615"
80808,35,12,S,HGH,PVE,F,"514,0623846",12/05/1982,16/05/2005,25/05/2005,3000
80809,34,11,D,HGH,PVE,F,"610,5793077",21/03/1983,01/01/2010,26/09/2005,"9477,346769"
80810,64,9,M,HGH,RET,M,"328,0912308",18/11/1953,01/10/9999,28/09/2007,"476,0032308"
80811,62,10,M,BCR,STE,F,"509,8142308",01/10/1986,16/08/1982,29/03/2007,"2307,692308"
80812,51,10,M,BCR,STE,M,"853,8204615",02/08/1966,01/09/1997,27/09/2006,"400,8133846"
80813,45,0,M,HGH,PVE,M,"351,0047692",02/05/1972,20/11/2015,07/10/2016,"2307,692308"
80814,53,12,M,BCR,PVE,M,"1156,628077",01/01/2006,01/01/2010,02/08/2004,"2307,692308"
80815,38,1,S,PRS,PVE,M,"215,3846154",15/12/1979,30/03/2016,04/04/2016,"2307,692308"
80816,46,0,M,HGH,PVE,F,"174,7615385",01/01/2001,06/01/2016,07/10/2016,"4615,384615"
80817,67,4,M,HGH,RET,F,"192,2807692",01/01/2010,01/10/9999,31/05/2013,"4584,230769"
80818,46,10,M,SEC,PVE,F,"318,8239231",01/01/1992,01/06/2001,09/02/2007,"1219,789923"
80819,59,0,M,HGH,STE,M,"238,6952308",08/03/1998,01/12/2004,14/10/2016,"2307,692308"
80820,54,4,M,HGH,RET,M,"170,7134615",01/06/1997,01/10/9999,04/09/2012,"5031,534692"
80821,49,11,M,HGH,PVE,F,"601,2615385",02/04/2004,04/09/2000,06/01/2006,"9230,769231"
80822,37,12,S,HGH,STE,M,"409,8926154",24/09/1980,22/07/2000,17/11/2004,"2307,692308"
80823,60,11,M,HGH,PVE,M,"202,1515385",01/09/2008,01/11/2012,08/07/2005,"3505,688385"
80824,46,4,M,HGH,PVE,M,"358,9738462",01/01/1996,27/08/2012,04/10/2012,"4615,384615"
80825,36,1,S,HGH,PVE,F,"262,9918462",01/01/1986,01/01/2011,07/09/2015,"236,4246154"
80826,42,10,M,HGH,STE,F,"272,1272308",01/01/2000,18/11/1998,28/11/2006,"4270,523231"
80827,26,4,S,HGH,PVE,M,"307,6923077",07/06/1991,01/11/2013,26/04/2013,"3996,568692"
80828,58,4,M,HGH,RET,M,"218,4176923",29/10/1959,01/10/9999,07/10/2012,"2487,238846"
80829,60,12,D,BCR,STE,F,"334,5076923",01/01/2008,01/01/1977,16/09/2004,"2062,052846"
80830,59,1,D,HGH,RET,M,"162,6813846",01/10/2002,01/10/9999,09/04/2016,"4615,384615"
80831,41,12,S,HGH,PVE,F,"487,4788462",06/09/1999,01/03/2005,17/03/2005,"7153,846154"
80832,63,11,M,SEC,RET,M,"191,4753846",14/02/1954,01/10/9999,03/10/2005,"4544,711538"
80833,69,6,W,HGH,RET,F,"152,5849231",19/09/2005,01/10/9999,04/01/2011,"2924,423077"
80834,25,3,S,BCR,PVE,F,"200,0615385",25/11/1992,23/10/2013,18/06/2014,"2307,692308"
80835,39,12,M,BCR,PVE,F,"596,4689231",01/08/2009,04/04/2005,19/04/2005,"3846,153846"
80836,23,0,S,HGH,STE,M,"279,7196923",30/12/1994,01/02/2016,05/10/2016,"952,0064615"
80837,40,0,S,HGH,STE,M,"563,5904615",01/01/2000,01/01/2016,11/10/2016,"4615,384615"
80838,34,2,S,BCR,PVE,M,"269,2307692",13/06/1983,03/01/2008,16/09/2014,"7615,384615"
80839,60,12,W,BCR,RET,F,"230,1",01/01/2007,01/10/9999,28/12/2004,"399,6568462"
80840,70,4,W,HGH,RET,F,"293,8494615",25/06/2003,01/10/9999,17/09/2012,"1580,769231"
80841,51,11,M,BCR,RET,M,"203,6498462",27/05/2009,01/10/9999,21/12/2005,"302,5996923"
80842,27,0,M,HGH,PVE,M,"317,7921538",27/05/2014,29/09/2014,07/10/2016,"7692,307692"
80843,46,13,M,BCR,STE,M,"529,4176154",01/06/1980,16/03/2004,14/01/2004,"1507,243462"
80844,47,12,M,HGH,PVE,M,"970,3769231",01/01/1988,01/02/2014,18/03/2005,"2307,692308"
80845,56,5,W,HGH,RET,F,"204,628",09/09/2014,01/10/9999,30/01/2012,"237,1153846"
80846,46,4,M,HGH,PVE,F,"172,925",30/09/1990,01/05/2010,01/12/2012,"4923,076923"
80847,60,2,M,HGH,RET,F,"155,9978462",01/01/1990,01/10/9999,09/06/2015,"2307,692308"
80848,71,12,M,BCR,RET,M,"199,3463077",01/01/2008,01/10/9999,10/03/2005,"1738,846154"
80849,40,3,M,HGH,PVE,F,"330,7692308",11/12/1977,07/11/2012,14/08/2013,"309,1901538"
80850,56,11,S,HGH,STE,M,"285,7203846",14/07/1968,30/09/1984,15/07/2005,"2307,692308"
80851,56,10,M,HGH,PVE,F,"187,8609231",08/05/2012,01/03/2016,06/09/2006,"2307,692308"
80852,39,12,M,BCR,PVE,M,"1354,471",20/02/2016,10/05/2010,02/11/2004,"9684,464154"
80853,38,1,M,HGH,PVE,M,"191,1615385",01/03/2012,10/11/2014,27/08/2015,"681,5699231"
80854,61,9,M,HGH,RET,M,"1296,809923",01/12/2001,01/10/9999,14/03/2008,"10387,68454"
80855,36,0,M,HGH,PVE,F,"203,4099231",01/11/1981,08/09/2008,14/10/2016,"2109,061538"
80856,55,3,M,HGH,SFE,F,"720,4801538",01/01/1989,12/12/2011,15/04/2014,"6411,149"
80857,36,2,S,BCR,STE,F,"364,5230769",24/11/1981,01/03/2015,02/03/2015,"440,8946923"
80858,44,2,M,HGH,STE,M,"223,0461538",01/05/1990,01/06/2010,12/06/2015,"3067,477308"
80859,38,0,M,HGH,PVE,M,"330,7692308",03/01/1979,01/04/2007,15/10/2016,"340,6843846"
80860,51,0,M,HGH,STE,F,"360,0830769",01/01/2012,25/05/1987,14/10/2016,"7692,307692"
80861,32,0,S,BCR,PVE,M,"561,2474615",01/01/2016,01/07/2011,10/10/2016,"4615,384615"
80862,65,10,M,HGH,RET,M,"155,8482308",01/01/1996,01/10/9999,27/09/2006,"790,3846154"
80863,55,5,M,HGH,STE,M,"349,7461538",01/06/1993,04/01/1985,11/11/2011,"468,4915385"
80864,69,9,M,BCR,RET,M,"398,7874615",01/01/1976,01/10/9999,02/11/2007,"1343,653846"
80865,39,11,M,BCR,PVE,F,"428,8110769",03/10/1997,24/07/2006,17/10/2005,"5384,615385"
80866,41,11,M,BCR,STE,F,"370,0572308",01/01/2004,17/11/2004,02/11/2005,"2301,000462"
80867,50,6,M,HGH,SFE,F,"1,153846154",11/01/1967,28/01/2009,20/08/2010,"4642,26"
80868,51,11,M,BCR,STE,M,"329,3307692",01/07/2007,01/09/1991,08/07/2005,"7692,307692"
80869,41,6,M,HGH,STE,F,"198,4941538",01/01/1993,01/04/2004,08/11/2010,"4557,394846"
80870,45,11,M,BCR,STE,M,"383,6538462",15/07/1972,15/10/2010,06/06/2006,"4615,384615"
80871,70,11,M,HGH,RET,M,"224,4985385",09/07/2012,01/10/9999,23/12/2005,"790,3846154"
80872,21,0,S,HGH,STE,F,"223,3377692",12/06/1996,01/10/9999,13/10/2016,"2307,692308"
80873,49,11,M,BCR,STE,M,"432,0153846",21/10/1968,01/09/1991,15/08/2005,"6435,485154"
80874,26,5,S,HGH,RET,M,"288,6812308",01/01/2009,01/10/9999,19/01/2012,"692,3076923"
80875,37,8,M,BCR,PVE,M,"767,5418462",17/07/1980,04/12/2008,29/09/2008,"925,1605385"
80876,57,8,M,HGH,RET,M,"325,1969231",01/01/1970,01/10/9999,13/08/2008,"796,315"
80877,40,5,M,HGH,STE,F,"238,8692308",01/01/1995,01/09/2007,20/07/2011,"2618,502692"
80878,56,2,M,HGH,STE,M,"309,4846154",01/01/1988,28/06/1982,10/06/2015,"1219,789923"
80879,41,6,M,BCR,PVE,M,"715,6786154",01/02/2011,01/10/2010,15/09/2010,"7692,307692"
80880,25,0,S,HGH,PVE,M,"162,6384615",17/11/1992,01/09/2013,14/10/2016,"1840,486385"
80881,45,5,D,BCR,PVE,F,"487,5769231",01/05/2015,01/01/2016,03/09/2011,"2307,692308"
80882,45,15,S,BCR,PVE,F,"284,8153846",01/01/1980,01/05/2003,08/06/2002,"1626,386615"
80883,47,0,W,HGH,STE,F,"377,6030769",20/11/1970,06/06/2011,13/10/2016,"4615,384615"
80884,25,1,S,HGH,PVE,M,"253,8461538",22/09/1992,19/10/2011,12/11/2015,"1392,474462"
80885,43,2,M,BCR,STE,F,"376,6751538",11/09/2011,01/11/2005,10/10/2014,"2307,692308"
80886,54,0,M,HGH,PVE,F,"338,4458462",09/10/1983,01/07/2016,10/10/2016,"796,315"
80887,45,12,M,HGH,PVE,M,"862,8461538",01/01/2005,01/10/9999,19/11/2004,"13599,78008"
80888,69,12,D,BCR,RET,F,"211,4715385",13/02/2008,01/10/9999,23/07/2004,"1304,134615"
80889,29,0,M,HGH,PVE,F,"186,3384615",03/05/2007,09/08/2015,10/10/2016,"446,4653846"
80890,34,9,M,HGH,PVE,M,"183,3076923",25/06/1983,12/02/2016,28/05/2008,"3846,153846"
80891,34,9,S,PRS,PVE,M,"613,0543846",01/01/1994,01/01/2010,28/02/2008,"278,5881538"
80892,65,11,M,HGH,RET,M,"216,8493077",01/01/2013,01/10/9999,02/06/2006,"3477,692308"
80893,72,11,M,HGH,RET,F,"242,6953846",01/01/1950,01/10/9999,18/07/2005,"2924,423077"
80894,69,9,M,HGH,RET,M,"138,6440769",01/01/2005,01/10/9999,28/01/2008,"632,3076923"
80895,65,13,D,BCR,RET,F,"180,0205385",01/06/1987,01/10/9999,28/07/2003,"3722,711538"
80896,39,6,D,BCR,STE,F,"369,4177692",23/05/1978,16/11/2010,17/11/2010,"1423,507769"
80897,69,3,D,HGH,RET,M,"176,5713846",01/06/1987,01/10/9999,27/12/2013,"395,1923077"
80898,51,9,M,HGH,PVE,M,"298,8009231",10/03/1995,05/09/1997,23/10/2007,"813,1933077"
80899,63,13,M,HGH,STE,M,"260,1364615",12/04/2005,14/01/1997,23/04/2004,"1117,623846"
80900,48,10,M,HGH,STE,F,"271,8846154",01/01/1990,01/11/1995,22/03/2007,"1925,922231"
80901,44,3,M,HGH,PVE,F,"629,8230769",28/05/1992,01/01/2010,06/08/2013,"5058,328154"
80902,60,12,M,HGH,RET,M,"254,0651538",12/04/1957,01/10/9999,11/04/2005,"4584,230769"
80903,39,11,M,BCR,STE,F,"320,6923077",01/09/2008,18/11/2013,04/01/2006,"6432,938154"
80904,35,3,M,BCR,PVE,F,"195,1769231",02/02/2005,01/11/2011,19/08/2013,"968,8423077"
80905,30,1,M,HGH,PVE,M,"187,4202308",26/12/1987,01/02/2016,29/03/2016,"2307,692308"
80906,33,0,M,HGH,PVE,M,"293,8461538",23/10/1984,01/09/2015,12/10/2016,"475,3846154"
80907,37,10,M,PRS,PVE,M,"496,5256154",30/06/2013,01/07/2004,15/07/2006,"2307,692308"
80908,69,9,M,HGH,RET,M,"208,7637692",15/06/1948,01/10/9999,16/06/2008,"4584,230769"
80909,28,8,M,BCR,PVE,M,"170,3353846",18/11/1989,01/04/2016,26/02/2009,"515,9916154"
80910,34,3,M,HGH,PVE,F,"455,7717692",15/07/2001,15/02/2014,18/02/2014,"5363,140308"
80911,65,4,M,HGH,RET,F,"201,3692308",30/04/1980,01/10/9999,11/10/2012,"2608,269231"
80912,48,10,M,BCR,PVE,M,"1496,753846",31/12/1980,01/05/2009,20/04/2007,"795,966"
80913,39,2,M,BCR,STE,F,400,10/10/1996,01/10/9999,09/06/2015,"460,5050769"
80914,42,11,D,HGH,STE,F,"268,0175385",15/06/2002,25/09/1995,01/03/2006,"2036,397923"
80915,36,13,S,HGH,STE,M,"227,8923077",06/01/1981,05/12/2008,08/04/2004,"2307,692308"
80916,50,10,M,BCR,STE,M,"200,9461538",01/01/1990,01/03/1990,24/02/2007,"2307,692308"
80917,41,12,D,HGH,OTH,F,"183,3307692",01/04/2004,01/10/9999,20/06/2005,"6644,792308"
80918,52,12,M,HGH,SFE,F,"189,0199231",01/03/1999,10/10/2001,14/02/2005,"4544,611923"
80919,47,1,M,HGH,STE,M,"255,4854615",01/01/2010,11/12/2003,05/12/2015,"1538,461538"
80920,60,0,M,HGH,STE,F,"383,0769231",01/01/1994,01/01/2003,28/09/2016,"356,3007692"
80921,62,11,D,BCR,RET,F,"207,8203846",15/10/1999,01/10/9999,06/07/2005,"2307,692308"
80922,54,2,W,HGH,RET,F,"189,2672308",01/09/1986,05/08/2000,19/05/2015,"2307,692308"
80923,69,11,W,HGH,RET,F,"357,2538462",18/03/1974,01/10/9999,29/09/2005,"3951,923077"
80924,61,12,M,HGH,RET,F,"212,3792308",01/01/1977,01/10/9999,12/05/2005,"2307,692308"
80925,67,10,M,HGH,RET,F,"253,0155385",03/03/1987,01/02/2006,10/07/2006,"1185,576923"
80926,44,12,S,BCR,STE,F,"441,0298462",01/09/2006,15/09/1998,12/11/2004,"2307,692308"
80927,36,9,S,BCR,PVE,M,"706,7692308",22/08/1981,01/01/2015,27/09/2007,"7692,307692"
80928,65,0,M,BCR,RET,M,"269,2307692",04/12/1952,30/10/2001,12/08/2016,"120,6153846"
80929,42,11,M,HGH,STE,F,"204,179",01/10/1992,25/02/2004,04/11/2005,"320,6506923"
80930,56,2,M,PRS,PVE,M,"184,6615385",18/03/1961,01/09/2010,15/12/2014,"2464,960154"
80931,48,13,S,BCR,PVE,M,"472,6686923",08/03/1969,10/06/1996,21/05/2004,"217,5676923"
80932,41,11,S,HGH,STE,M,"407,8891538",15/03/1980,01/08/1999,14/04/2006,"2307,692308"
80933,26,6,M,HGH,PVE,M,"301,9338462",01/08/1999,22/12/2015,01/02/2011,"528,5756154"
80934,61,13,M,BCR,SFE,F,"217,96",01/01/1980,07/07/2004,10/10/2003,"5721,341846"
80935,35,9,M,HGH,PVE,M,"260,2703077",01/06/2014,13/11/2007,03/12/2007,"2826,021538"
80936,69,12,D,HGH,RET,F,"230,9889231",01/01/1982,01/10/9999,28/09/2004,"3161,538462"
80937,41,4,D,HGH,PVE,F,"273,5874615",01/01/2013,20/05/2013,18/05/2013,"4615,384615"
80938,52,11,M,HGH,PVE,F,"209,8230769",11/02/1997,01/12/2013,27/12/2005,"2307,692308"
80939,66,14,W,HGH,RET,F,"186,8076923",01/09/2002,01/10/9999,31/07/2002,"2213,076923"
80940,56,12,D,BCR,STE,F,"802,2307692",15/08/2006,27/12/1990,07/09/2004,"2307,692308"
80941,52,11,M,HGH,PVE,M,"190,4923077",22/02/1965,01/06/2011,23/08/2005,"4615,384615"
80942,66,4,D,HGH,RET,F,"174,06",01/01/2014,01/10/9999,14/02/2013,"3596,25"
80943,45,14,S,HGH,PVE,F,"261,5384615",01/01/1974,01/08/2010,30/10/2002,"4615,384615"
80944,67,3,M,HGH,RET,M,"203,0789231",15/06/1950,10/07/1999,22/04/2014,"1027,5"
80945,48,11,M,HGH,STE,M,"195,2769231",05/04/1969,18/06/1997,29/07/2005,"4615,384615"
80946,47,4,M,BCR,STE,F,"339,4230769",01/02/1997,15/04/1997,25/12/2012,"407,5384615"
80947,44,11,M,PHD,STE,F,"813,6769231",15/08/2012,01/02/1998,10/12/2005,"2307,692308"
80948,51,13,M,HGH,PVE,M,"607,4153846",31/03/1966,19/10/1999,11/11/2003,"1060,583077"
80949,45,11,D,BCR,PVE,F,"293,0551538",01/01/1985,18/12/2010,30/01/2006,"2307,692308"
80950,65,0,M,HGH,RET,M,"202,4660769",23/02/1952,01/10/9999,13/10/2016,"2766,346154"
80951,57,12,M,BCR,PVE,M,"189,9769231",01/01/1987,01/12/2006,13/05/2005,"2549,958769"
80952,49,13,W,MAS,STE,F,"848,4538462",01/02/1988,01/12/2009,10/01/2004,"13672,18462"
80953,44,14,M,BCR,PVE,M,"707,1619231",01/01/1984,01/02/2004,25/07/2002,"3076,923077"
80954,43,0,M,HGH,PVE,M,"384,6153846",01/01/1988,01/10/2013,11/10/2016,"357,41"
80955,29,0,S,HGH,PVE,M,"278,3076923",10/07/1988,30/01/2013,10/10/2016,"2371,153846"
80956,43,9,M,HGH,PVE,F,"192,4615385",01/09/2009,03/06/2015,24/09/2007,"1693,587"
80957,31,0,M,HGH,PVE,F,"192,3076923",31/12/2013,01/01/2016,11/10/2016,"2307,692308"
80958,35,1,M,HGH,PVE,M,"384,6153846",01/08/2014,01/08/2013,30/07/2015,"166,3053846"
80959,50,12,M,HGH,PVE,F,"170,1635385",31/03/2008,01/04/2015,13/06/2005,"2307,692308"
80960,55,6,M,BCR,PVE,M,"679,3833846",01/09/1999,01/10/2010,13/10/2010,"2307,692308"
80961,54,0,M,HGH,PVE,M,"192,3076923",27/04/1963,06/05/2014,02/09/2016,"2307,692308"
80962,31,11,M,HGH,PVE,F,"230,7692308",28/07/2014,01/03/2016,21/01/2006,"948,4615385"
80963,71,1,M,HGH,RET,M,"201,7743077",26/12/1946,01/10/9999,08/03/2016,"3754,326923"
80964,45,11,M,HGH,STE,M,"677,8846154",01/01/2010,05/08/1996,25/11/2005,"2307,692308"
80965,57,12,M,BCR,STE,M,"489,1495385",25/05/2006,14/09/1989,02/09/2004,"6153,846154"
80966,36,8,M,HGH,PVE,F,"178,4153846",01/01/2000,01/06/2009,01/07/2009,"1650,197"
80967,49,4,M,BCR,RET,M,"334,3633846",01/01/1973,08/08/1998,21/05/2013,"4615,384615"
80968,45,8,M,HGH,PVE,F,"304,5119231",14/03/2007,04/06/2010,02/06/2009,"801,6266923"
80969,35,2,M,BCR,PVE,F,"883,1153846",01/02/2014,30/12/2015,13/03/2015,"7692,307692"
80970,64,2,S,HGH,RET,F,"221,7589231",01/01/1982,01/10/9999,19/05/2015,"2608,269231"
80971,26,4,S,HGH,PVE,M,250,01/01/1996,11/01/2016,18/02/2013,"2307,692308"
80972,55,12,M,BCR,PVE,F,"1314,062154",01/05/2010,17/11/2007,20/04/2005,"692,3076923"
80973,55,9,M,HGH,PVE,M,"305,2692308",12/12/1970,04/10/1982,06/09/2007,"1784,971077"
80974,38,2,S,HGH,RET,M,"209,3569231",01/01/2006,01/10/9999,24/11/2014,"4869,227077"
80975,41,5,M,BCR,STE,F,"265,4923077",10/08/1976,20/03/2012,09/11/2011,"3692,307692"
80976,51,10,S,BCR,STE,F,"331,5496923",15/10/1966,11/09/2000,22/05/2007,"406,5966154"
80977,41,0,M,BCR,PVE,M,"180,4538462",01/01/2007,01/11/2015,12/10/2016,"2307,692308"
80978,66,0,*noval*,HGH,OTH,M,0,01/10/9999,01/10/9999,11/10/2016,0
80979,30,4,M,HGH,PVE,M,"298,2297692",10/07/1987,01/11/2013,19/04/2013,"2307,692308"
